"Recognition Log: Katherine Chan, Thomas Ruby, Jonathan Zhang // $1 Recognizer // XML Dataset // USER-DEPENDENT RANDOM-1"
User[all-users],GestureType[all-gesture-types],Random Iteration[1to1],#ofTrainingExamples[E],TotalSizeOfTrainingSet[count],TrainingSetContents[specific-gesture-instances],Candidate[specific-instance],RecoResultGestureType[what-was-recognized],CorrectIncorrect[1or0],RecoResultScore,RecoResultBestMatch[specific-instance],RecoResultNBestSorted[instance-and-score]
2,v,1,1,16,"{'triangle01', 'x07', 'rectangle04', 'circle06', 'check02', 'caret02', 'question_mark06', 'arrow07', 'left_sq_bracket05', 'right_sq_bracket02', 'v03', 'delete_mark01', 'left_curly_brace01', 'right_curly_brace09', 'star05', 'pigtail09'}",v06,v,1,0.8688232523535431,v03,"[('v03', 0.8688232523535431), ('triangle01', 0.7227292857801542), ('rectangle04', 0.7029798830432101), ('circle06', 0.6614371182790291), ('left_sq_bracket05', 0.6587170293657668), ('left_curly_brace01', 0.6181115631665605), ('delete_mark01', 0.5423706642784951), ('x07', 0.5334375448205495), ('check02', 0.5318904571267156), ('pigtail09', 0.5098304505713004), ('question_mark06', 0.49055841859185445), ('right_curly_brace09', 0.4797118727769344), ('star05', 0.4429353910844448), ('caret02', 0.43515198855858406), ('arrow07', 0.42196182996568954), ('right_sq_bracket02', 0.4048337535362223)]"
2,delete_mark,1,1,16,"{'triangle01', 'x07', 'rectangle04', 'circle06', 'check02', 'caret02', 'question_mark06', 'arrow07', 'left_sq_bracket05', 'right_sq_bracket02', 'v03', 'delete_mark01', 'left_curly_brace01', 'right_curly_brace09', 'star05', 'pigtail09'}",delete_mark05,delete_mark,1,0.8699957721371134,delete_mark01,"[('delete_mark01', 0.8699957721371134), ('caret02', 0.5621317587027987), ('v03', 0.5163720849262308), ('right_sq_bracket02', 0.5053371651381828), ('star05', 0.4601585707781347), ('question_mark06', 0.454288106651636), ('arrow07', 0.4511051002618437), ('pigtail09', 0.44781160364714345), ('right_curly_brace09', 0.43855903117649786), ('check02', 0.42946774499041296), ('triangle01', 0.370565423486822), ('rectangle04', 0.36323167437845216), ('x07', 0.3543320476193914), ('circle06', 0.2748923589523753), ('left_curly_brace01', 0.26815673344021873), ('left_sq_bracket05', 0.24228691219384635)]"
2,left_curly_brace,1,1,16,"{'triangle01', 'x07', 'rectangle04', 'circle06', 'check02', 'caret02', 'question_mark06', 'arrow07', 'left_sq_bracket05', 'right_sq_bracket02', 'v03', 'delete_mark01', 'left_curly_brace01', 'right_curly_brace09', 'star05', 'pigtail09'}",left_curly_brace06,left_curly_brace,1,0.7839164400059402,left_curly_brace01,"[('left_curly_brace01', 0.7839164400059402), ('v03', 0.7312301178439196), ('left_sq_bracket05', 0.7246526405964147), ('check02', 0.687616952800626), ('right_curly_brace09', 0.6459532286581724), ('rectangle04', 0.6344361989035797), ('arrow07', 0.5885206537925667), ('question_mark06', 0.5861932547238775), ('triangle01', 0.5714173168545698), ('right_sq_bracket02', 0.5482454592310502), ('circle06', 0.5468400868021517), ('caret02', 0.4853498675320618), ('x07', 0.48230922891886974), ('pigtail09', 0.46774395809512215), ('delete_mark01', 0.44702099333243794), ('star05', 0.4391932972629712)]"
2,right_curly_brace,1,1,16,"{'triangle01', 'x07', 'rectangle04', 'circle06', 'check02', 'caret02', 'question_mark06', 'arrow07', 'left_sq_bracket05', 'right_sq_bracket02', 'v03', 'delete_mark01', 'left_curly_brace01', 'right_curly_brace09', 'star05', 'pigtail09'}",right_curly_brace02,right_sq_bracket,0,0.7902014307045702,right_sq_bracket02,"[('right_sq_bracket02', 0.7902014307045702), ('right_curly_brace09', 0.7771240067908476), ('caret02', 0.6914005732298105), ('check02', 0.6789995901435355), ('arrow07', 0.6550815643846435), ('question_mark06', 0.6482582283025397), ('left_curly_brace01', 0.5677667592938256), ('pigtail09', 0.47426580607889046), ('left_sq_bracket05', 0.46057608735269184), ('star05', 0.45483039863347907), ('delete_mark01', 0.39512794081167), ('rectangle04', 0.3649806260160122), ('v03', 0.3612328307191124), ('x07', 0.3303222307212502), ('triangle01', 0.32071231772335895), ('circle06', 0.29984797151894094)]"
2,star,1,1,16,"{'triangle01', 'x07', 'rectangle04', 'circle06', 'check02', 'caret02', 'question_mark06', 'arrow07', 'left_sq_bracket05', 'right_sq_bracket02', 'v03', 'delete_mark01', 'left_curly_brace01', 'right_curly_brace09', 'star05', 'pigtail09'}",star06,star,1,0.8068527856070431,star05,"[('star05', 0.8068527856070431), ('arrow07', 0.5666017138334243), ('x07', 0.5096716817542912), ('right_curly_brace09', 0.45556809257870035), ('pigtail09', 0.43071665830855776), ('delete_mark01', 0.42627206799704), ('v03', 0.4164886548456881), ('right_sq_bracket02', 0.395541169743193), ('caret02', 0.3936274794025618), ('check02', 0.3873866758611817), ('left_curly_brace01', 0.3737391851439714), ('question_mark06', 0.366055080333897), ('rectangle04', 0.350644573548773), ('triangle01', 0.31223132072303694), ('left_sq_bracket05', 0.2897128728625936), ('circle06', 0.24427737548276696)]"
2,pigtail,1,1,16,"{'triangle01', 'x07', 'rectangle04', 'circle06', 'check02', 'caret02', 'question_mark06', 'arrow07', 'left_sq_bracket05', 'right_sq_bracket02', 'v03', 'delete_mark01', 'left_curly_brace01', 'right_curly_brace09', 'star05', 'pigtail09'}",pigtail07,pigtail,1,0.8257339734972462,pigtail09,"[('pigtail09', 0.8257339734972462), ('x07', 0.7082557267360512), ('triangle01', 0.5956853324147517), ('caret02', 0.5844855448731846), ('rectangle04', 0.5600275722986633), ('v03', 0.5591461681437387), ('arrow07', 0.5486937954960138), ('circle06', 0.5115887759768589), ('question_mark06', 0.5002364073771152), ('right_curly_brace09', 0.48243822411971593), ('right_sq_bracket02', 0.40680552517409685), ('check02', 0.37989369561996655), ('delete_mark01', 0.37584545788577983), ('left_sq_bracket05', 0.37298765100560805), ('star05', 0.3565337133357932), ('left_curly_brace01', 0.3003349457582485)]"
2,triangle,1,2,32,"{'triangle06', 'triangle07', 'x01', 'x02', 'rectangle10', 'rectangle01', 'circle08', 'circle07', 'check10', 'check06', 'caret05', 'caret07', 'question_mark09', 'question_mark04', 'arrow08', 'arrow03', 'left_sq_bracket10', 'left_sq_bracket01', 'right_sq_bracket08', 'right_sq_bracket05', 'v05', 'v07', 'delete_mark03', 'delete_mark07', 'left_curly_brace07', 'left_curly_brace10', 'right_curly_brace06', 'right_curly_brace08', 'star06', 'star09', 'pigtail03', 'pigtail08'}",triangle01,triangle,1,0.893797908102995,triangle07,"[('triangle07', 0.893797908102995), ('triangle06', 0.8926721253556008), ('circle08', 0.824562643841403), ('rectangle10', 0.8182933051881411), ('circle07', 0.8053916064360442), ('rectangle01', 0.790292353548625), ('v05', 0.7216864910273766), ('left_sq_bracket10', 0.7119005766197123), ('v07', 0.6987636896359255), ('left_sq_bracket01', 0.6605209770255912), ('x01', 0.6494143689120129), ('x02', 0.6260811169678828), ('left_curly_brace07', 0.591911738887392), ('pigtail08', 0.5580194024254979), ('pigtail03', 0.5480679879252417), ('check10', 0.5126498082573244), ('arrow03', 0.5098507310285709), ('check06', 0.4893081017293237), ('left_curly_brace10', 0.4367158185328892), ('arrow08', 0.42075898318691407), ('question_mark09', 0.3670998347804627), ('question_mark04', 0.36589529187615266), ('delete_mark07', 0.3439256216633908), ('right_sq_bracket08', 0.3370678514890514), ('right_sq_bracket05', 0.33553183330611003), ('caret05', 0.3258445243302436), ('delete_mark03', 0.32186529630380745), ('star09', 0.31504061990794663), ('star06', 0.3122313207230365), ('right_curly_brace06', 0.3002704991317696), ('caret07', 0.2952008881269448), ('right_curly_brace08', 0.2943690749343598)]"
2,x,1,2,32,"{'triangle06', 'triangle07', 'x01', 'x02', 'rectangle10', 'rectangle01', 'circle08', 'circle07', 'check10', 'check06', 'caret05', 'caret07', 'question_mark09', 'question_mark04', 'arrow08', 'arrow03', 'left_sq_bracket10', 'left_sq_bracket01', 'right_sq_bracket08', 'right_sq_bracket05', 'v05', 'v07', 'delete_mark03', 'delete_mark07', 'left_curly_brace07', 'left_curly_brace10', 'right_curly_brace06', 'right_curly_brace08', 'star06', 'star09', 'pigtail03', 'pigtail08'}",x05,x,1,0.9284080821693226,x01,"[('x01', 0.9284080821693226), ('x02', 0.9218528248705727), ('pigtail03', 0.7606993007095391), ('pigtail08', 0.7570037058906027), ('arrow08', 0.7044001876566275), ('triangle07', 0.6431056042662346), ('arrow03', 0.6209257393334224), ('triangle06', 0.6149042075849649), ('rectangle01', 0.6142854899671772), ('rectangle10', 0.6029573312551263), ('v05', 0.5782504976706795), ('circle08', 0.5639895930110344), ('v07', 0.5622388368216618), ('question_mark09', 0.5537663382778819), ('caret05', 0.5479459184276851), ('star06', 0.5415694807053463), ('circle07', 0.5359918096337588), ('left_sq_bracket10', 0.5327481237260225), ('left_sq_bracket01', 0.5144082737856674), ('caret07', 0.5035473429316905), ('star09', 0.4860609260033901), ('left_curly_brace10', 0.4721669522120352), ('left_curly_brace07', 0.459399642432778), ('question_mark04', 0.4584059801567214), ('right_curly_brace08', 0.45536781254150016), ('right_sq_bracket05', 0.451166255699187), ('right_curly_brace06', 0.44065077953087617), ('delete_mark07', 0.4397584366723313), ('check10', 0.4234194559895422), ('delete_mark03', 0.4227344677942477), ('check06', 0.39893362212699257), ('right_sq_bracket08', 0.39680468741789465)]"
2,rectangle,1,2,32,"{'triangle06', 'triangle07', 'x01', 'x02', 'rectangle10', 'rectangle01', 'circle08', 'circle07', 'check10', 'check06', 'caret05', 'caret07', 'question_mark09', 'question_mark04', 'arrow08', 'arrow03', 'left_sq_bracket10', 'left_sq_bracket01', 'right_sq_bracket08', 'right_sq_bracket05', 'v05', 'v07', 'delete_mark03', 'delete_mark07', 'left_curly_brace07', 'left_curly_brace10', 'right_curly_brace06', 'right_curly_brace08', 'star06', 'star09', 'pigtail03', 'pigtail08'}",rectangle07,rectangle,1,0.9053729833970051,rectangle10,"[('rectangle10', 0.9053729833970051), ('rectangle01', 0.8882359683653067), ('circle08', 0.8657252563306483), ('triangle06', 0.845594144315731), ('triangle07', 0.8447340166909274), ('circle07', 0.8072933567454492), ('v05', 0.7288291996178338), ('left_sq_bracket10', 0.7226231939605949), ('v07', 0.7146279944715963), ('left_sq_bracket01', 0.6884790507945212), ('left_curly_brace07', 0.6175802575014748), ('x01', 0.6001889677836727), ('x02', 0.5909517725642799), ('pigtail08', 0.5348823405987446), ('pigtail03', 0.5305323746565112), ('check10', 0.53034875506684), ('check06', 0.5070684561950374), ('arrow03', 0.4708544118872412), ('left_curly_brace10', 0.4630475572592522), ('question_mark04', 0.3936969320981881), ('arrow08', 0.3874280582869699), ('question_mark09', 0.37279773870269317), ('right_sq_bracket08', 0.36244688237045963), ('right_sq_bracket05', 0.36064035230906577), ('right_curly_brace06', 0.35032270151789635), ('right_curly_brace08', 0.34386055959401907), ('delete_mark07', 0.3345028763532434), ('star06', 0.32338419002588015), ('caret05', 0.3182740788711371), ('star09', 0.3147215804825726), ('delete_mark03', 0.30701687214255435), ('caret07', 0.2696805211340616)]"
2,circle,1,2,32,"{'triangle06', 'triangle07', 'x01', 'x02', 'rectangle10', 'rectangle01', 'circle08', 'circle07', 'check10', 'check06', 'caret05', 'caret07', 'question_mark09', 'question_mark04', 'arrow08', 'arrow03', 'left_sq_bracket10', 'left_sq_bracket01', 'right_sq_bracket08', 'right_sq_bracket05', 'v05', 'v07', 'delete_mark03', 'delete_mark07', 'left_curly_brace07', 'left_curly_brace10', 'right_curly_brace06', 'right_curly_brace08', 'star06', 'star09', 'pigtail03', 'pigtail08'}",circle06,circle,1,0.925304956513719,circle07,"[('circle07', 0.925304956513719), ('circle08', 0.890396052710928), ('rectangle10', 0.8519587014059222), ('rectangle01', 0.8298289432672582), ('triangle07', 0.8018495011336435), ('triangle06', 0.7910929807912233), ('left_sq_bracket10', 0.728360360738701), ('left_sq_bracket01', 0.6815966103896707), ('v05', 0.6702269212082537), ('v07', 0.6426355705746135), ('left_curly_brace07', 0.5661320716644961), ('x01', 0.5550792515271561), ('x02', 0.549044272429782), ('check10', 0.492524624925055), ('pigtail08', 0.4712113926721543), ('check06', 0.4588059969338306), ('pigtail03', 0.45670402941554555), ('arrow03', 0.4255458590479102), ('left_curly_brace10', 0.4070402537272919), ('question_mark04', 0.354949317007589), ('question_mark09', 0.3247682591019073), ('right_sq_bracket08', 0.32313426971454373), ('arrow08', 0.31437211590910075), ('right_sq_bracket05', 0.30367082301168424), ('right_curly_brace06', 0.2998486684402597), ('right_curly_brace08', 0.2944592833151499), ('delete_mark07', 0.2612667502517665), ('star06', 0.24427737548276773), ('delete_mark03', 0.24033096084172267), ('star09', 0.23793657730355844), ('caret05', 0.23683553954793846), ('caret07', 0.21486969697972547)]"
2,check,1,2,32,"{'triangle06', 'triangle07', 'x01', 'x02', 'rectangle10', 'rectangle01', 'circle08', 'circle07', 'check10', 'check06', 'caret05', 'caret07', 'question_mark09', 'question_mark04', 'arrow08', 'arrow03', 'left_sq_bracket10', 'left_sq_bracket01', 'right_sq_bracket08', 'right_sq_bracket05', 'v05', 'v07', 'delete_mark03', 'delete_mark07', 'left_curly_brace07', 'left_curly_brace10', 'right_curly_brace06', 'right_curly_brace08', 'star06', 'star09', 'pigtail03', 'pigtail08'}",check03,check,1,0.9179345552473569,check06,"[('check06', 0.9179345552473569), ('check10', 0.8975542818108545), ('left_curly_brace10', 0.7348375289521122), ('left_curly_brace07', 0.7275529563800873), ('left_sq_bracket01', 0.6982904914251611), ('question_mark04', 0.6856049860590065), ('left_sq_bracket10', 0.6665631179193816), ('right_sq_bracket05', 0.6572578330160455), ('right_curly_brace06', 0.6433711456445041), ('v07', 0.6414860303714678), ('right_curly_brace08', 0.6332090552082033), ('v05', 0.6135899314170141), ('right_sq_bracket08', 0.5929999742017921), ('caret07', 0.5705669364111107), ('rectangle01', 0.564186408826441), ('rectangle10', 0.5546769571031049), ('caret05', 0.5518788242941519), ('triangle06', 0.5503840218596538), ('arrow03', 0.5347841115274949), ('triangle07', 0.5287820355245365), ('arrow08', 0.5283111129940263), ('circle08', 0.4980905886169914), ('question_mark09', 0.4945994335308327), ('circle07', 0.4883534413204983), ('delete_mark07', 0.48498482414056887), ('delete_mark03', 0.4810622119880431), ('x01', 0.4454123592425513), ('x02', 0.42547116973927934), ('pigtail08', 0.41591861442984546), ('star06', 0.4079466411045577), ('pigtail03', 0.3906279592232721), ('star09', 0.38560029570622023)]"
2,caret,1,2,32,"{'triangle06', 'triangle07', 'x01', 'x02', 'rectangle10', 'rectangle01', 'circle08', 'circle07', 'check10', 'check06', 'caret05', 'caret07', 'question_mark09', 'question_mark04', 'arrow08', 'arrow03', 'left_sq_bracket10', 'left_sq_bracket01', 'right_sq_bracket08', 'right_sq_bracket05', 'v05', 'v07', 'delete_mark03', 'delete_mark07', 'left_curly_brace07', 'left_curly_brace10', 'right_curly_brace06', 'right_curly_brace08', 'star06', 'star09', 'pigtail03', 'pigtail08'}",caret06,caret,1,0.8814931661725708,caret05,"[('caret05', 0.8814931661725708), ('caret07', 0.8382420286113139), ('pigtail03', 0.7264064547324229), ('right_sq_bracket05', 0.6979540445501875), ('right_curly_brace08', 0.6798163199327045), ('question_mark09', 0.6678006485646941), ('right_sq_bracket08', 0.6611958721243658), ('arrow08', 0.65281807155729), ('right_curly_brace06', 0.6456962608027121), ('pigtail08', 0.6431926139674181), ('question_mark04', 0.6356403581154024), ('arrow03', 0.6181609043423937), ('delete_mark07', 0.6081399182485758), ('x01', 0.5737772630256835), ('x02', 0.565493870499327), ('delete_mark03', 0.5555235928740774), ('left_curly_brace10', 0.5284350905080452), ('check06', 0.5149412521287058), ('check10', 0.48473495454399307), ('v07', 0.4782416796315714), ('v05', 0.4778523429805759), ('triangle07', 0.426313375363385), ('triangle06', 0.4185759914271532), ('star09', 0.40045859019118957), ('star06', 0.3873968146031098), ('rectangle10', 0.3733188902114173), ('left_curly_brace07', 0.3677700751122396), ('rectangle01', 0.3383291799420526), ('left_sq_bracket01', 0.3270622213477381), ('circle08', 0.3035427760636672), ('left_sq_bracket10', 0.2847745932742728), ('circle07', 0.2682564782998157)]"
2,question_mark,1,2,32,"{'triangle06', 'triangle07', 'x01', 'x02', 'rectangle10', 'rectangle01', 'circle08', 'circle07', 'check10', 'check06', 'caret05', 'caret07', 'question_mark09', 'question_mark04', 'arrow08', 'arrow03', 'left_sq_bracket10', 'left_sq_bracket01', 'right_sq_bracket08', 'right_sq_bracket05', 'v05', 'v07', 'delete_mark03', 'delete_mark07', 'left_curly_brace07', 'left_curly_brace10', 'right_curly_brace06', 'right_curly_brace08', 'star06', 'star09', 'pigtail03', 'pigtail08'}",question_mark06,question_mark,1,0.9225136123143167,question_mark04,"[('question_mark04', 0.9225136123143167), ('right_sq_bracket05', 0.8074646566585237), ('right_curly_brace06', 0.7658147012757701), ('question_mark09', 0.763129745722584), ('right_sq_bracket08', 0.7586232168227663), ('right_curly_brace08', 0.7323497862802382), ('caret07', 0.7162180282881373), ('check06', 0.7044423600510037), ('caret05', 0.7028518197995696), ('check10', 0.7001249372694167), ('left_curly_brace10', 0.6721953344242008), ('pigtail08', 0.5540499081591823), ('left_curly_brace07', 0.5437744195509151), ('left_sq_bracket01', 0.5407348841441845), ('pigtail03', 0.5204457949788334), ('arrow08', 0.5169690109853735), ('delete_mark07', 0.5014590610403729), ('arrow03', 0.487943290834826), ('delete_mark03', 0.48681303146011135), ('left_sq_bracket10', 0.4785547622437699), ('x01', 0.4540541707009972), ('v07', 0.43187393933054186), ('x02', 0.41929884863113), ('v05', 0.41412796628579085), ('rectangle10', 0.3879205859721895), ('rectangle01', 0.36809754171556985), ('star06', 0.36605508033389667), ('star09', 0.35829265549334977), ('triangle07', 0.35231984982736675), ('triangle06', 0.33751705143200317), ('circle08', 0.3353260619608496), ('circle07', 0.3161365255275487)]"
