"Recognition Log: Katherine Chan, Thomas Ruby, Jonathan Zhang // $1 Recognizer // XML Dataset // USER-DEPENDENT RANDOM-1",,,,,,,,,,,
User,Gesture Type,Random Iteration[1 to 1],#ofTrainingExamples[E],TotalSizeOfTrainingSet,TrainingSetContents,Candidate,RecoResultGestureType[what-was-recognized],CorrectIncorrect[1or0],RecoResultScore,RecoResultBestMatch[specific-instance],RecoResultNBestSorted[instance-and-score]
2,v,1,1,16,"dict_keys(['triangle09', 'x09', 'rectangle07', 'circle06', 'check05', 'caret05', 'question_mark08', 'arrow10', 'left_sq_bracket05', 'right_sq_bracket01', 'v09', 'delete_mark06', 'left_curly_brace04', 'right_curly_brace08', 'star09', 'pigtail01'])",v08,v,1,0.859555986,v09,"[('v09', 0.8595559862197284), ('triangle09', 0.6865876304563912), ('rectangle07', 0.6816582460065126), ('left_curly_brace04', 0.6346715624564716), ('circle06', 0.6097758334879622), ('x09', 0.5819528896802375), ('left_sq_bracket05', 0.5766513122635946), ('check05', 0.5626100999829101), ('caret05', 0.5057244481651109), ('delete_mark06', 0.49823230662886986), ('arrow10', 0.4859958709801455), ('pigtail01', 0.46183170740754065), ('star09', 0.45545473662823366), ('right_curly_brace08', 0.43496453312977246), ('question_mark08', 0.40268207960606683), ('right_sq_bracket01', 0.38638535594301315)]"
2,delete_mark,1,1,16,"dict_keys(['triangle09', 'x09', 'rectangle07', 'circle06', 'check05', 'caret05', 'question_mark08', 'arrow10', 'left_sq_bracket05', 'right_sq_bracket01', 'v09', 'delete_mark06', 'left_curly_brace04', 'right_curly_brace08', 'star09', 'pigtail01'])",delete_mark10,delete_mark,1,0.940540271,delete_mark06,"[('delete_mark06', 0.9405402706939441), ('caret05', 0.6005095200678734), ('right_sq_bracket01', 0.5027978121078005), ('right_curly_brace08', 0.45592453039451153), ('arrow10', 0.4542085345498591), ('question_mark08', 0.45219038250331745), ('star09', 0.42180342312643526), ('v09', 0.4099143988323046), ('check05', 0.4039387376489906), ('x09', 0.37877785191916136), ('triangle09', 0.32223361809571305), ('pigtail01', 0.3136056952399342), ('left_curly_brace04', 0.30127512275566926), ('rectangle07', 0.285181931429352), ('circle06', 0.22703525710389838), ('left_sq_bracket05', 0.20452325822538886)]"
2,left_curly_brace,1,1,16,"dict_keys(['triangle09', 'x09', 'rectangle07', 'circle06', 'check05', 'caret05', 'question_mark08', 'arrow10', 'left_sq_bracket05', 'right_sq_bracket01', 'v09', 'delete_mark06', 'left_curly_brace04', 'right_curly_brace08', 'star09', 'pigtail01'])",left_curly_brace02,check,0,0.758094425,check05,"[('check05', 0.7580944252385677), ('left_curly_brace04', 0.7497444881312766), ('v09', 0.7246285364820588), ('left_sq_bracket05', 0.6967713099804433), ('rectangle07', 0.5814498664321854), ('right_curly_brace08', 0.5765306307177094), ('triangle09', 0.5694165117894836), ('question_mark08', 0.5613904177750239), ('arrow10', 0.5555346579223934), ('right_sq_bracket01', 0.5533968629185246), ('circle06', 0.5302526675281956), ('caret05', 0.4762662795135093), ('x09', 0.44894771310996107), ('star09', 0.4410578123821953), ('pigtail01', 0.4408934386499226), ('delete_mark06', 0.3271773501020554)]"
2,right_curly_brace,1,1,16,"dict_keys(['triangle09', 'x09', 'rectangle07', 'circle06', 'check05', 'caret05', 'question_mark08', 'arrow10', 'left_sq_bracket05', 'right_sq_bracket01', 'v09', 'delete_mark06', 'left_curly_brace04', 'right_curly_brace08', 'star09', 'pigtail01'])",right_curly_brace07,right_curly_brace,1,0.814418893,right_curly_brace08,"[('right_curly_brace08', 0.8144188928200915), ('right_sq_bracket01', 0.8014372737135945), ('check05', 0.7955536178281638), ('question_mark08', 0.7855026074053645), ('left_curly_brace04', 0.6369559784846357), ('caret05', 0.6114019533402528), ('left_sq_bracket05', 0.6037690915813245), ('arrow10', 0.5363396392673707), ('pigtail01', 0.4978342320641894), ('v09', 0.46717095081077675), ('rectangle07', 0.43292301302360536), ('delete_mark06', 0.42348197760438), ('x09', 0.3877890310488893), ('circle06', 0.3849658906667177), ('triangle09', 0.37508227910975334), ('star09', 0.33829612242968843)]"
2,star,1,1,16,"dict_keys(['triangle09', 'x09', 'rectangle07', 'circle06', 'check05', 'caret05', 'question_mark08', 'arrow10', 'left_sq_bracket05', 'right_sq_bracket01', 'v09', 'delete_mark06', 'left_curly_brace04', 'right_curly_brace08', 'star09', 'pigtail01'])",star08,star,1,0.840555771,star09,"[('star09', 0.8405557710133648), ('arrow10', 0.5648125876498767), ('x09', 0.5080181969745747), ('right_curly_brace08', 0.43549953281477116), ('v09', 0.4199004663564858), ('check05', 0.4195217466405943), ('left_curly_brace04', 0.4175800204779859), ('right_sq_bracket01', 0.3923733889114768), ('pigtail01', 0.3810387620760014), ('delete_mark06', 0.37315953659609924), ('triangle09', 0.3673007881822393), ('caret05', 0.3587170844867641), ('question_mark08', 0.3486014989718763), ('rectangle07', 0.3367729947025029), ('left_sq_bracket05', 0.33211347965198423), ('circle06', 0.2662275637157572)]"
2,pigtail,1,1,16,"dict_keys(['triangle09', 'x09', 'rectangle07', 'circle06', 'check05', 'caret05', 'question_mark08', 'arrow10', 'left_sq_bracket05', 'right_sq_bracket01', 'v09', 'delete_mark06', 'left_curly_brace04', 'right_curly_brace08', 'star09', 'pigtail01'])",pigtail04,pigtail,1,0.824612088,pigtail01,"[('pigtail01', 0.8246120883170915), ('x09', 0.7686785323877378), ('caret05', 0.7079692988637877), ('arrow10', 0.5960589703305599), ('triangle09', 0.551965911981894), ('question_mark08', 0.549651741899187), ('rectangle07', 0.5380890592120113), ('v09', 0.5340559011055392), ('right_curly_brace08', 0.530492591056411), ('circle06', 0.4670418265653231), ('right_sq_bracket01', 0.45678276445497823), ('check05', 0.42906138063011223), ('delete_mark06', 0.40897955585299295), ('left_curly_brace04', 0.4082173466075786), ('star09', 0.36397916232094985), ('left_sq_bracket05', 0.3634288787513439)]"
2,triangle,1,2,32,"dict_keys(['triangle02', 'triangle10', 'x04', 'x03', 'rectangle09', 'rectangle03', 'circle02', 'circle01', 'check06', 'check07', 'caret02', 'caret07', 'question_mark07', 'question_mark09', 'arrow07', 'arrow01', 'left_sq_bracket04', 'left_sq_bracket10', 'right_sq_bracket04', 'right_sq_bracket02', 'v04', 'v05', 'delete_mark08', 'delete_mark03', 'left_curly_brace08', 'left_curly_brace02', 'right_curly_brace03', 'right_curly_brace07', 'star03', 'star06', 'pigtail09', 'pigtail07'])",triangle01,triangle,1,0.95445483,triangle02,"[('triangle02', 0.9544548295621826), ('triangle10', 0.9052777833959647), ('circle02', 0.8263559322621943), ('rectangle09', 0.8125231506546402), ('rectangle03', 0.8022465863000652), ('circle01', 0.7838058460779154), ('v04', 0.7293210746222083), ('v05', 0.7216864910273766), ('left_sq_bracket04', 0.7165914620420823), ('left_sq_bracket10', 0.7119005766197123), ('x04', 0.6677267215204563), ('x03', 0.6517684166749962), ('pigtail07', 0.5956853324147517), ('left_curly_brace08', 0.5838252240718067), ('check07', 0.5816825279907678), ('left_curly_brace02', 0.5778760443811941), ('check06', 0.4893081017293237), ('pigtail09', 0.4799284869165438), ('arrow07', 0.4099626343311029), ('arrow01', 0.403528157270965), ('right_curly_brace03', 0.40256155677634364), ('right_curly_brace07', 0.3718059168722033), ('question_mark09', 0.3670998347804627), ('question_mark07', 0.334743328225405), ('star03', 0.33365833337082995), ('right_sq_bracket02', 0.32842618593299344), ('right_sq_bracket04', 0.32797391345525495), ('delete_mark03', 0.32186529630380745), ('star06', 0.3122313207230365), ('delete_mark08', 0.3120815673338584), ('caret07', 0.2952008881269448), ('caret02', 0.2911922508866146)]"
2,x,1,2,32,"dict_keys(['triangle02', 'triangle10', 'x04', 'x03', 'rectangle09', 'rectangle03', 'circle02', 'circle01', 'check06', 'check07', 'caret02', 'caret07', 'question_mark07', 'question_mark09', 'arrow07', 'arrow01', 'left_sq_bracket04', 'left_sq_bracket10', 'right_sq_bracket04', 'right_sq_bracket02', 'v04', 'v05', 'delete_mark08', 'delete_mark03', 'left_curly_brace08', 'left_curly_brace02', 'right_curly_brace03', 'right_curly_brace07', 'star03', 'star06', 'pigtail09', 'pigtail07'])",x01,x,1,0.906556294,x03,"[('x03', 0.9065562941441184), ('x04', 0.8720358258053801), ('pigtail07', 0.754964662011971), ('pigtail09', 0.7023929432463963), ('triangle10', 0.6713281946299454), ('triangle02', 0.6557807140607479), ('arrow01', 0.6302370080259964), ('rectangle09', 0.619464885973446), ('arrow07', 0.6038637816218059), ('circle02', 0.5781675408489567), ('v05', 0.5703558534184736), ('question_mark09', 0.5582947954483377), ('v04', 0.5567045850061445), ('rectangle03', 0.5552069728732627), ('circle01', 0.5400177022835808), ('star06', 0.5334938858524892), ('left_sq_bracket04', 0.5266029793413192), ('left_sq_bracket10', 0.5218221922286126), ('star03', 0.5139334063571379), ('caret02', 0.5124171906680048), ('caret07', 0.4958898805735227), ('question_mark07', 0.4860550119881253), ('check07', 0.47569771726718524), ('left_curly_brace08', 0.4642608590541517), ('left_curly_brace02', 0.4436819665052092), ('delete_mark03', 0.4319784681191835), ('right_sq_bracket02', 0.41021721259110966), ('right_sq_bracket04', 0.40871160360919123), ('check06', 0.39917673602297665), ('delete_mark08', 0.39614076445524093), ('right_curly_brace03', 0.3914680478467676), ('right_curly_brace07', 0.3731704372756989)]"
2,rectangle,1,2,32,"dict_keys(['triangle02', 'triangle10', 'x04', 'x03', 'rectangle09', 'rectangle03', 'circle02', 'circle01', 'check06', 'check07', 'caret02', 'caret07', 'question_mark07', 'question_mark09', 'arrow07', 'arrow01', 'left_sq_bracket04', 'left_sq_bracket10', 'right_sq_bracket04', 'right_sq_bracket02', 'v04', 'v05', 'delete_mark08', 'delete_mark03', 'left_curly_brace08', 'left_curly_brace02', 'right_curly_brace03', 'right_curly_brace07', 'star03', 'star06', 'pigtail09', 'pigtail07'])",rectangle07,rectangle,1,0.912169914,rectangle09,"[('rectangle09', 0.9121699141065137), ('rectangle03', 0.8796181493102732), ('circle02', 0.8712534006551261), ('circle01', 0.8542137656690165), ('triangle02', 0.8477200298693389), ('triangle10', 0.8207325794266176), ('left_sq_bracket04', 0.7329857185045614), ('v05', 0.7288291996178338), ('v04', 0.7275594466999977), ('left_sq_bracket10', 0.7226231939605949), ('x04', 0.6444948803193202), ('left_curly_brace08', 0.6283565285448277), ('x03', 0.6255720246953811), ('check07', 0.5840868075882029), ('pigtail07', 0.5828383881787629), ('left_curly_brace02', 0.5814498664321854), ('check06', 0.5070684561950374), ('pigtail09', 0.49257331795226644), ('right_curly_brace07', 0.4329230130236056), ('right_curly_brace03', 0.4173603784205828), ('arrow07', 0.3814816209480836), ('question_mark09', 0.37279773870269317), ('arrow01', 0.366300175891199), ('question_mark07', 0.3611825222449623), ('right_sq_bracket04', 0.3561098619773443), ('right_sq_bracket02', 0.3435009931134083), ('star03', 0.33832907064164475), ('star06', 0.32338419002588015), ('delete_mark03', 0.30701687214255435), ('delete_mark08', 0.2961171152690337), ('caret07', 0.2696805211340616), ('caret02', 0.2689399297331396)]"
2,circle,1,2,32,"dict_keys(['triangle02', 'triangle10', 'x04', 'x03', 'rectangle09', 'rectangle03', 'circle02', 'circle01', 'check06', 'check07', 'caret02', 'caret07', 'question_mark07', 'question_mark09', 'arrow07', 'arrow01', 'left_sq_bracket04', 'left_sq_bracket10', 'right_sq_bracket04', 'right_sq_bracket02', 'v04', 'v05', 'delete_mark08', 'delete_mark03', 'left_curly_brace08', 'left_curly_brace02', 'right_curly_brace03', 'right_curly_brace07', 'star03', 'star06', 'pigtail09', 'pigtail07'])",circle06,circle,1,0.909099508,circle01,"[('circle01', 0.9090995083259378), ('circle02', 0.9004571998392012), ('rectangle09', 0.8257193292475747), ('rectangle03', 0.8256169127398227), ('triangle10', 0.8234974258790626), ('triangle02', 0.8112084335242267), ('left_sq_bracket04', 0.7388174034844883), ('left_sq_bracket10', 0.728360360738701), ('v04', 0.6883581030303789), ('v05', 0.6702269212082537), ('x04', 0.6085000098887052), ('left_curly_brace08', 0.5931094353352393), ('x03', 0.5776980718579732), ('check07', 0.5368088418538604), ('left_curly_brace02', 0.5302526675281956), ('pigtail07', 0.5115887759768589), ('check06', 0.4588059969338306), ('pigtail09', 0.39426625015199), ('right_curly_brace07', 0.3849658906667177), ('right_curly_brace03', 0.3731708445880487), ('question_mark09', 0.3247682591019073), ('question_mark07', 0.32208586019990526), ('arrow07', 0.3161021567657657), ('right_sq_bracket04', 0.31151916730961804), ('right_sq_bracket02', 0.30171470733425876), ('arrow01', 0.2967994927553995), ('star03', 0.26501556205401233), ('star06', 0.24427737548276773), ('delete_mark03', 0.24033096084172267), ('delete_mark08', 0.2294282565235164), ('caret07', 0.21486969697972547), ('caret02', 0.2050912672031162)]"
2,check,1,2,32,"dict_keys(['triangle02', 'triangle10', 'x04', 'x03', 'rectangle09', 'rectangle03', 'circle02', 'circle01', 'check06', 'check07', 'caret02', 'caret07', 'question_mark07', 'question_mark09', 'arrow07', 'arrow01', 'left_sq_bracket04', 'left_sq_bracket10', 'right_sq_bracket04', 'right_sq_bracket02', 'v04', 'v05', 'delete_mark08', 'delete_mark03', 'left_curly_brace08', 'left_curly_brace02', 'right_curly_brace03', 'right_curly_brace07', 'star03', 'star06', 'pigtail09', 'pigtail07'])",check08,check,1,0.912870666,check07,"[('check07', 0.9128706657576116), ('check06', 0.8907435576168509), ('left_curly_brace08', 0.8475661094166758), ('left_curly_brace02', 0.7813614374856866), ('right_curly_brace07', 0.761539670982458), ('left_sq_bracket10', 0.7080236641094471), ('left_sq_bracket04', 0.6933903510206184), ('right_curly_brace03', 0.6640672684858429), ('question_mark07', 0.6497469085778561), ('v04', 0.642998883449494), ('v05', 0.6220633556049513), ('arrow07', 0.600913642560701), ('right_sq_bracket02', 0.5995674593503635), ('right_sq_bracket04', 0.5915609244623963), ('rectangle09', 0.5869496688078326), ('triangle02', 0.5778152727518229), ('arrow01', 0.5613824070352784), ('triangle10', 0.5532032516632619), ('circle01', 0.5467142698777266), ('rectangle03', 0.5294984759119681), ('circle02', 0.5294072085989019), ('caret07', 0.5191478253284237), ('caret02', 0.5150762723629786), ('question_mark09', 0.5037104854290612), ('x03', 0.4397085485867672), ('x04', 0.4340272956628176), ('delete_mark03', 0.42179691865128), ('pigtail09', 0.4102543600515687), ('star03', 0.40989013103238714), ('star06', 0.3931689657031807), ('delete_mark08', 0.38096392889645525), ('pigtail07', 0.3624407536753511)]"
2,caret,1,2,32,"dict_keys(['triangle02', 'triangle10', 'x04', 'x03', 'rectangle09', 'rectangle03', 'circle02', 'circle01', 'check06', 'check07', 'caret02', 'caret07', 'question_mark07', 'question_mark09', 'arrow07', 'arrow01', 'left_sq_bracket04', 'left_sq_bracket10', 'right_sq_bracket04', 'right_sq_bracket02', 'v04', 'v05', 'delete_mark08', 'delete_mark03', 'left_curly_brace08', 'left_curly_brace02', 'right_curly_brace03', 'right_curly_brace07', 'star03', 'star06', 'pigtail09', 'pigtail07'])",caret06,caret,1,0.847313939,caret02,"[('caret02', 0.8473139388123173), ('caret07', 0.8382420286113139), ('pigtail09', 0.7406444448558868), ('right_sq_bracket02', 0.6793017452559982), ('right_sq_bracket04', 0.6738960589089213), ('question_mark09', 0.6678006485646941), ('question_mark07', 0.6591457988947057), ('pigtail07', 0.6394104362279855), ('arrow01', 0.6367752455803181), ('arrow07', 0.6341714563286864), ('delete_mark08', 0.6128514249753749), ('right_curly_brace03', 0.5911760657353509), ('right_curly_brace07', 0.5656872233656594), ('x03', 0.5630694153291997), ('delete_mark03', 0.5555235928740774), ('x04', 0.539944551176482), ('check06', 0.5149412521287058), ('v05', 0.4778523429805759), ('check07', 0.46822764349433466), ('left_curly_brace02', 0.4373588337207619), ('v04', 0.43106522585105256), ('star03', 0.393269414304518), ('left_curly_brace08', 0.39202927408566557), ('triangle02', 0.38951153974494446), ('star06', 0.3873968146031098), ('rectangle09', 0.35569459009628956), ('triangle10', 0.35094762714702066), ('rectangle03', 0.32573669157518303), ('circle02', 0.3162359654949489), ('left_sq_bracket04', 0.2868781615220144), ('left_sq_bracket10', 0.2847745932742728), ('circle01', 0.2578352197182707)]"
2,question_mark,1,2,32,"dict_keys(['triangle02', 'triangle10', 'x04', 'x03', 'rectangle09', 'rectangle03', 'circle02', 'circle01', 'check06', 'check07', 'caret02', 'caret07', 'question_mark07', 'question_mark09', 'arrow07', 'arrow01', 'left_sq_bracket04', 'left_sq_bracket10', 'right_sq_bracket04', 'right_sq_bracket02', 'v04', 'v05', 'delete_mark08', 'delete_mark03', 'left_curly_brace08', 'left_curly_brace02', 'right_curly_brace03', 'right_curly_brace07', 'star03', 'star06', 'pigtail09', 'pigtail07'])",question_mark03,question_mark,1,0.851721533,question_mark07,"[('question_mark07', 0.8517215327627804), ('right_curly_brace07', 0.7605752138007855), ('question_mark09', 0.7525025110557778), ('check06', 0.7253148522767708), ('right_sq_bracket04', 0.7076724913364739), ('right_sq_bracket02', 0.7069484961617041), ('left_curly_brace08', 0.6952546356625968), ('check07', 0.6689655633637137), ('caret02', 0.6539950703262767), ('caret07', 0.6447071988102702), ('left_curly_brace02', 0.5981239113529648), ('pigtail09', 0.5863647791106881), ('right_curly_brace03', 0.5863565943665316), ('arrow07', 0.5508539069719258), ('left_sq_bracket10', 0.5377216756294775), ('left_sq_bracket04', 0.5361416971929993), ('pigtail07', 0.5341669164020805), ('arrow01', 0.5311378699308402), ('x03', 0.5124983216467359), ('rectangle09', 0.48096299314356705), ('v04', 0.4782252122499592), ('v05', 0.47645132140610447), ('delete_mark08', 0.47441166601797713), ('x04', 0.46870476346497036), ('delete_mark03', 0.44800112216198584), ('circle02', 0.4393493133921661), ('triangle02', 0.4350617732219737), ('circle01', 0.41978439979573434), ('rectangle03', 0.4064698872224638), ('star03', 0.40374783772057865), ('triangle10', 0.39754339894138513), ('star06', 0.3911719009074843)]"
